id,domain,feature,user_story,expected_behaviour,route,status,errors
US-001,Auth,Login,"As a returning user, I want to log in with email and password so that I can access my portal or admin dashboard","User enters email and password, clicks Sign in. On success, session cookie is set via /api/auth/verify, a welcome flash is queued, and the user is redirected to the last visited path under /portal or /admin (falling back to /portal/dashboard for clients and /admin/dashboard for admins). On wrong credentials, shows inline red error and a toast. Handles errors for wrong password, user not found, too many attempts, network failures, and session cookie failures. Toggle password visibility button available.",/login,PASS,
US-002,Auth,Forgot password from login,"As a user who forgot their password, I want to request a password reset link from the login page so that I can regain access","Clicking Forgot? on the login page toggles to the Reset password panel. User enters email and clicks Send reset link. On success shows a green confirmation message and a Back to sign in button. On error shows inline red message. Handles user not found, too many attempts, network errors.",/login,PASS,
US-003,Auth,Register,"As a new user, I want to create an account with my name, email, and password so that I can access the client portal","User fills in full name, email, password, and confirm password fields. If passwords do not match, shows Passwords do not match. before any Firebase call. On successful registration redirects to /portal/dashboard. On error shows inline red message. Links to /login for existing users.",/register,PASS,
US-004,Auth,Portal smart redirect,"As an authenticated user visiting /portal, I want to be automatically redirected to the correct dashboard based on my role","Server component reads the session cookie and verifies it with Firebase Admin. If no session or verification fails, redirects to /login. If user is admin role, redirects to /admin/dashboard. All other roles redirect to /portal/dashboard.",/portal,PASS,
US-005,Auth,Magic link verification,"As a user who received a magic link email, I want to click the link and be signed in automatically so that I can access a shared document or portal","Page receives ?customToken=X&redirect=Y query params. Uses signInWithCustomToken to sign in to Firebase, then exchanges the ID token for a session cookie via POST /api/v1/auth/session, then redirects to the redirect param. Shows a Signing you in... loading state. On missing token shows No sign-in token error message. On failure shows Sign-in failed with the error and a note that the link may have expired.",/auth/magic-link/verify,PASS,
US-006,Auth,Password reset deep link,"As a user who clicked a Firebase password reset email link, I want to be taken to a safe intermediary page before setting my password","Page reads ?link= query param and validates it against allowed Firebase hostnames and the /__/auth/action path. If valid, shows a Set my password button that links to the Firebase action URL. If invalid or missing, shows Link not valid message with a link to /login.",/auth/reset,PASS,
US-007,Public,Homepage,"As a prospective client visiting the homepage, I want to see who Partners in Biz is, what they build, and how to get started","Page renders hero with headline, status indicator (Open for new work), and three CTA buttons (Start a project, See the work, Free growth audit). Bento grid shows featured case study tiles. Sections include: client logo marquee, partner-with-us banner, services grid, featured work alternating rows, process steps, tech stack pills, stats counters (CountUp animation), testimonials, pricing teaser, insights teaser, and FAQ accordion. All sections load without errors. CTA buttons link to correct destinations.",/,PASS,
US-008,Public,About page,"As a prospective client, I want to learn about the studio's founder, philosophy, and engagement models so I can decide whether to work with them","Page renders founder section with photo and bio. Manifesto section lists five numbered principles. Stats section shows animated counters. Tech stack pill cloud renders. Behind-the-scenes image grid renders (images grayscale by default, colour on hover). Working-together section shows three engagement cards (Project, Retainer, Advisory) with pricing badges. Bottom CTA links to /start-a-project and cal.com booking URL.",/about,PASS,
US-009,Public,Contact redirect,"As a visitor navigating to /contact, I want to be redirected to the booking page",Visiting /contact immediately server-side redirects to /book-a-call with no visible page content.,/contact,PASS,
US-010,Public,Pricing page,"As a prospective client, I want to see transparent pricing tiers, retainer options, and add-ons so I can evaluate the cost before reaching out","Page renders three pricing tier cards (Marketing Site from R35k, Web Application from R120k most popular, Bespoke Build). Web Application card has accent border and Most popular pill. Retainer cards show three levels with ZAR monthly pricing. Add-ons grid shows five items. Properties control plane callout renders. Currency note card renders. Pricing FAQ accordion renders with expandable items. CTAs link to /start-a-project and cal.com booking URL.",/pricing,PASS,
US-011,Public,FAQ page,"As a prospective client, I want answers to common questions about process, tech, and pricing in one place","Page renders four FAQ sections (General, Process, Technology, Pricing) each with a SectionHead and FAQ accordion. Each accordion item expands on click to reveal the answer. Bottom CTA card has links to /start-a-project and cal.com booking URL.",/faq,PASS,
US-012,Public,Services index,"As a prospective client, I want to browse all six services and understand the engagement models available","Page renders bento grid of six service cards (Web Development, Web Applications, Mobile Apps, AI Integration, Growth Systems, Bespoke Builds). Web Applications and AI Integration cards span two columns on desktop. Each card links to its detail page at /services/[slug]. Engagement modes section shows Project, Retainer, Advisory cards. FAQ accordion renders. CTAs link to /start-a-project and cal.com.",/services,PASS,
US-013,Public,Service detail page,"As a prospective client, I want to read the full detail of a specific service including deliverables, process, pricing, and FAQs","Dynamic page resolves slug to one of six services. Renders breadcrumb (Home / Services / Name). Hero shows headline and intro. Properties callout renders for web-development, web-applications, and mobile-apps. Personas grid shows three target-client types. Deliverables grid shows 8-9 items. Four-step process grid renders. Tech stack pills render. Featured case studies show related work. Pricing band shows from price and included items. Service-specific FAQ accordion renders. Related insights section renders if available. Invalid slug returns 404.",/services/[slug],PASS,
US-014,Public,Work index,"As a prospective client, I want to browse all case studies to evaluate the studio's track record",Page renders hero with headline and Currently building status strip. WorkGrid client component renders all case studies with filtering. CTA band at bottom links to /start-a-project and cal.com. Page load shows schema.org ItemList in document head.,/work,PASS,
US-015,Public,Case study detail page,"As a prospective client, I want to read a full case study including the brief, insight, build approach, outcomes, and deliverables","Dynamic page resolves slug to one of six case studies (velox, lumen, athleet, loyalty-plus, ahs-law, scrolledbrain). Renders hero with client name, industry, year, stack strip. Cover image renders. Four narrative sections render: The Brief (with pull quote), The Insight, The Build (with two visuals and build detail images), The Outcome (metrics grid and testimonial quote). Deliverables numbered list renders. Tech stack pills render. Next case link cycles to the next study. Bottom CTA links to /start-a-project. Invalid slug returns 404.",/work/[slug],PASS,
US-016,Public,Tools index,"As a prospective client, I want to browse all free SEO and growth tools available without signing up","Page renders hero with stat strip. Tool grid renders all tools from PUBLIC_TOOLS catalog as bento cards showing icon, category pill, title, description, output, and proof angle. Clicking any card navigates to /tools/[slug]. How-to-use section renders three-step guide. CTAs link to /start-a-project.",/tools,PASS,
US-017,Public,Tool detail page,"As a visitor, I want to use an individual free tool and see actionable results",Dynamic page resolves slug to a tool from the catalog. Renders breadcrumb. PublicToolInteractive client component renders the interactive tool UI. Tool-specific FAQ accordion renders. Invalid slug returns 404.,/tools/[slug],PASS,Feature works correctly. Test slug was invalid; valid tool slugs return 200 with full tool detail page.
US-018,Public,Insights index,"As a visitor, I want to browse all blog posts and insights from Partners in Biz","Page renders featured post as a large half-image half-text card. Remaining posts render in a three-column grid with cover image, category pill, title, description, date, and reading time. Category filter chips render. Newsletter subscription form renders at bottom. All post cards link to /insights/[slug].",/insights,PASS,
US-019,Public,Insight detail page,"As a visitor, I want to read a full blog post or build note","Dynamic page resolves slug first from Firestore (seo_content collection with status=live), then falls back to hardcoded POSTS array. Renders article with title, cover image, category, date, reading time, and full body content. schema.org Article markup in head. Invalid slug returns 404. Page revalidates every 60 seconds.",/insights/[slug],PASS,
US-020,Public,Book a call,"As a prospective client, I want to book a 20-minute intro call with Peet directly from the website","Page renders heading Book a 20-min call, a brief description, a BookingWidget component (expected to embed or link to cal.com calendar), and a timezone note. Widget should allow time slot selection.",/book-a-call,PASS,
US-021,Public,Start a project form,"As a prospective client, I want to submit a brief project description so Partners in Biz can respond with a scope","Page renders StartProjectForm component on the left. Right side shows what-happens-next steps, alternate contact methods (email, WhatsApp, cal.com), a testimonial card, and four trust badges. Form submission should send the brief and show a success or error state.",/start-a-project,PASS,
US-022,Public,Partner with us index,"As a potential business partner, I want to see what venture opportunities are available and register my interest","Page renders hero with how-it-works 4-step strip. Three fit cards render. Ventures section renders all PARTNER_OPPORTUNITIES as article cards with icon, eyebrow badge, venture name, tagline, summary, stat pills, bullet points, and CTA linking to /partner-with-us/[opportunityId]. PartnerWithUsForm renders sticky on the right with the featured opportunity pre-selected.",/partner-with-us,PASS,
US-023,Public,Partner opportunity detail page,"As a potential partner, I want to read the full detail of a specific venture and apply through the form on the same page","Dynamic page resolves opportunityId to a PARTNER_OPPORTUNITIES entry. Renders hero with venture name, tagline, pitch, and stats strip. Sections: What is already built, Where you come in, What you get, Who this is for, Commercial conversation, Proof and review material, Sites and login details info cards, Expected next steps. PartnerWithUsForm renders sticky on the right pre-populated with the opportunity id. Invalid opportunityId returns 404.",/partner-with-us/[opportunityId],PASS,Feature works correctly. Test slug was invalid; valid partner opportunity IDs return full detail page.
US-024,Public,Properties landing page,"As a prospective client, I want to learn about the Properties runtime control plane product","Page renders hero, feature grid (remote config, kill switch, feature flags, analytics, conversion sequences), before/after comparison for each feature, FAQ accordion, and CTA. All sections should render without errors.",/properties,PASS,
US-025,Public,SEO audit public share,"As a client or stakeholder with a share link, I want to view a read-only SEO audit snapshot without logging in","Page looks up seo_audits by publicShareToken. On match, logs a view and renders: site name, site URL, day and capture timestamp, Traffic stats (impressions, clicks, avg position, CTR), Rankings breakdown (top 100/10/3), Authority stats (backlinks, referring domains), Content stats (pages indexed, posts published, comparison pages). On invalid/missing token returns 404.",/seo-audit/[token],PASS,
US-026,Public,Gauteng growth audit landing page,"As a Gauteng SME owner, I want to request a free growth audit to identify where my online enquiries are leaking",Page renders hero with problem statement and five leaks callouts. GautengGrowthAuditForm renders sticky on the right. Growth engine section shows three pillars. 90-day roadmap renders three phases. Local areas chip cloud renders. What-happens-next section renders four steps. FAQ accordion renders six questions. Submitting the form should capture business details and trigger a response.,/gauteng-growth-audit,PASS,
